MJD,i:magpsf,i:sigmapsf,Filter,r,delta,alpha
59801.458044011146,17.994,0.054,ZTF-r,18.838,18.287,2.629
59808.43476851098,17.981,0.056,ZTF-r,18.837,18.191,2.415
59813.33769671107,18.377,0.077,ZTF-g,18.836,18.129,2.243
59813.378495411016,17.945,0.055,ZTF-r,18.836,18.128,2.241
59815.395347211044,18.003,0.055,ZTF-r,18.836,18.104,2.165
59815.42144671129,18.314,0.098,ZTF-g,18.836,18.104,2.164
59817.42070601089,18.356,0.079,ZTF-g,18.836,18.08,2.086
59819.400266211014,18.343,0.061,ZTF-g,18.835,18.058,2.006
59819.46517361095,17.968,0.052,ZTF-r,18.835,18.057,2.004
59822.40072921105,18.287,0.082,ZTF-g,18.835,18.026,1.881
59822.47195601091,17.929,0.039,ZTF-r,18.835,18.026,1.878
59824.395335610956,17.93,0.046,ZTF-r,18.835,18.006,1.794
59839.309756910894,18.242,0.066,ZTF-g,18.832,17.889,1.083
59839.40187501116,18.275,0.062,ZTF-g,18.832,17.888,1.079
59843.30217591114,17.843,0.049,ZTF-r,18.832,17.868,0.878
59843.35905091092,18.227,0.075,ZTF-g,18.832,17.867,0.875
59846.37047451129,18.212,0.065,ZTF-g,18.831,17.854,0.717
59846.40115741128,17.836,0.054,ZTF-r,18.831,17.854,0.716
59848.33809031127,17.771,0.063,ZTF-r,18.831,17.847,0.614
59848.35890051117,18.171,0.07,ZTF-g,18.831,17.847,0.612
59860.1847338113,17.648,0.06,ZTF-r,18.829,17.83,0.111
59863.337106511,18.136,0.082,ZTF-g,18.828,17.833,0.236
59865.26244211104,18.153,0.076,ZTF-g,18.828,17.836,0.333
59865.32754631108,17.695,0.041,ZTF-r,18.828,17.836,0.337
59867.32078701118,17.745,0.054,ZTF-r,18.828,17.841,0.441
59872.2887268113,18.258,0.061,ZTF-g,18.827,17.857,0.703
59872.366689810995,17.872,0.039,ZTF-r,18.827,17.857,0.707
59877.29416671116,17.862,0.051,ZTF-r,18.826,17.881,0.964
59879.33011571132,18.261,0.07,ZTF-g,18.826,17.893,1.068
59881.286169011146,17.916,0.048,ZTF-r,18.825,17.905,1.167
59894.28170141112,17.976,0.059,ZTF-r,18.823,18.015,1.779
59896.28498841124,17.986,0.046,ZTF-r,18.823,18.036,1.865
59898.22908561118,18.282,0.058,ZTF-g,18.823,18.057,1.947
59898.25399301108,17.976,0.051,ZTF-r,18.823,18.057,1.948
