MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,delta,r,alpha,reduced_mag,reduced_dmag,MJDCorrected,3sig limiting mag
57591.579680999996,18.174,0.182,195,35,o,0,1.7,353.45209,1.89884,5027.4,5177.47,3.39,3.15,-81.3,-0.491,18.37,19.13,02a57591o0631o,17.7698934204751,18.37281501693,2.5942,5.60469737265413,0.182,57591.4770506548,24.557018393238156
57591.593452,18.276,0.228,178,40,o,0,1.01,353.45179,1.89875,5476.15,5414.77,3.45,3.23,-85.4,-0.478,18.43,19.24,02a57591o0656o,17.769713969162,18.37282270155,2.5937,5.706718393388192,0.228,57591.49082269123,24.31235974569971
57600.543725,18.602,0.138,132,18,c,0,0.92,353.2391,1.82795,3262.34,5208.86,4.47,4.09,-41.0,-0.395,19.47,21.72,02a57600o0460c,17.6601165219451,18.37780470609,2.2842,6.045564015643077,0.138,57600.44172867329,24.85749914719775
57607.527501,18.605999999999998,0.1,131,13,c,0,1.49,353.03755,1.75457,7457.38,2216.17,4.14,3.67,18.3,-0.456,19.71,21.69,02a57607o0401c,17.5857109958837,18.38167473622,2.0036,6.058274956671976,0.1,57607.42593440377,25.207196863200842
57607.543375,18.575,0.10300000000000001,135,14,c,0,1.31,353.03704,1.7543900000000001,7434.27,2179.93,4.17,3.64,17.1,-0.456,19.71,21.69,02a57607o0422c,17.5855541263752,18.38168351539,2.0029,6.027293289800834,0.10300000000000001,57607.44180930978,25.175103801437913
57611.503605,18.267,0.109,179,20,o,0,1.16,352.91048,1.7062099999999998,5325.15,8210.35,3.99,3.46,-78.0,-0.48100000000000004,19.27,21.43,02a57611o0503o,17.5482607300532,18.38387127497,1.8303,5.723644755619725,0.109,57611.40225469846,25.113630618349283
57611.528285,18.358,0.14300000000000002,165,24,o,0,0.93,352.90965,1.7058900000000001,5194.91,2231.81,4.61,3.61,-3.0,-0.447,19.22,21.44,02a57611o0545o,17.5480396439555,18.38388489365,1.8291,5.814670505008312,0.14300000000000002,57611.42693597535,24.818856769538186
57611.540211,18.176,0.111,195,22,o,0,0.87,352.90924,1.7057400000000003,5252.05,2305.75,4.3,3.64,-3.3,-0.46799999999999997,19.26,21.42,02a57611o0565o,17.5479332076208,18.38389147447,1.8286,5.632682898638478,0.111,57611.43886259008,25.093889416234198
57611.553588999996,18.229,0.11699999999999999,186,22,o,0,0.99,352.90879,1.70557,5274.84,2193.03,4.3,3.52,-3.2,-0.48200000000000004,19.28,21.42,02a57611o0590o,17.5478141200941,18.38389885645,1.828,5.685696763251537,0.11699999999999999,57611.45224127787,25.03673220883544
57611.576254,18.121,0.09300000000000001,205,19,o,0,1.28,352.90802,1.70528,5235.28,2249.24,4.33,3.48,-3.5,-0.485,19.25,21.36,02a57611o0630o,17.5476130941221,18.38391136288,1.827,5.577720162324805,0.09300000000000001,57611.474907438904,25.285989491816004
